num,year,sikibetu1,sikibetu2,
94,1919,94sw,94ne,
177,1919,177nw,177se,
179,1919,179s,179n,
224,1919,224s,224s,
285,1919,285s,285n,
562,1919,562se,562se,
729,1919,729s,729sw,
32,1920,32w,32e,
91,1920,91se,91ne,
94,1920,94sw,94ne,
177,1920,177nw,177se,
179,1920,179s,179n,
224,1920,224s,224s,
285,1920,285s,285n,
562,1920,562se,562se,
729,1920,729s,729sw,
32,1921,32w,32e,
91,1921,91se,91ne,
94,1921,94sw,94ne,
170,1921,170s,170n,
177,1921,177nw,177se,
179,1921,179s,179n,
224,1921,224s,224s,
285,1921,285s,285n,
411,1921,411s,411n,
562,1921,562se,562se,
729,1921,729s,729sw,
32,1922,32w,32e,
91,1922,91se,91ne,
94,1922,94sw,94ne,
170,1922,170s,170n,
177,1922,177nw,177se,
179,1922,179s,179n,
224,1922,224s,224s,
285,1922,285s,285n,
411,1922,411s,411n,
562,1922,562se,562se,
729,1922,729s,729sw,
32,1923,32w,32e,
91,1923,91se,91ne,
94,1923,94sw,94ne,
170,1923,170s,170n,
177,1923,177nw,177se,
179,1923,179s,179n,
224,1923,224s,224s,
285,1923,285s,285n,
411,1923,411s,411n,
562,1923,562se,562se,
729,1923,729s,729sw,
32,1924,32w,32e,
91,1924,91se,91ne,
94,1924,94sw,94ne,
170,1924,170s,170n,
177,1924,177nw,177se,
179,1924,179s,179n,
224,1924,224s,224s,
285,1924,285s,285n,
364,1924,364s,364n,
411,1924,411s,411n,
562,1924,562se,562se,
729,1924,729s,729sw,
32,1925,32w,32e,
91,1925,91se,91ne,
94,1925,94sw,94ne,
170,1925,170s,170n,
177,1925,177nw,177se,
179,1925,179s,179n,
224,1925,224s,224s,
285,1925,285s,285n,
364,1925,364s,364n,
411,1925,411s,411n,
562,1925,562se,562se,
729,1925,729s,729sw,
32,1926,32w,32e,
91,1926,91se,91ne,
94,1926,94sw,94ne,
170,1926,170s,170n,
177,1926,177nw,177se,
179,1926,179s,179n,
224,1926,224s,224s,
285,1926,285s,285n,
364,1926,364s,364n,
411,1926,411s,411n,
562,1926,562se,562se,
729,1926,729s,729sw,
32,1927,32w,32e,
91,1927,91se,91ne,
94,1927,94sw,94ne,
170,1927,170s,170n,
177,1927,177nw,177se,
