
,tau= 0.01,tau= 0.25,tau= 0.05,tau= 0.75,tau= 0.99,N
(Intercept),0.120974934219637,0.977525599663347,0.282919077066294,2.69323883391281,8.77752519145506,11993
data$dbh,-6.92424871901399e-05,-0.00224435404685089,-0.000332468914156527,-0.00713203173754123,-0.022571543732366,
