
,tau= 0.01,tau= 0.05,tau= 0.25,tau= 0.05,tau= 0.75,tau= 0.95,tau= 0.99,N
(Intercept),0.0625749094501152,0.25136704730832,0.685820505373221,0.25136704730832,2.0627027027027,3.77214711729622,5.64250913520097,11993
data$dbh,0.00592690154757985,0.0068515497553018,0.00900377577693872,0.0068515497553018,0.00923708518645226,-0.00298210735586484,-0.0194884287454324,
