num,x,y,spp,dbh01,dbh04,hgt,sprout,sc,Crd1,Crd2,Crd3,Crd4,Crd5,Crd6,Crd7,Crd8,Crd9,crd
69,0.169432777,11.51052724,bp,0.49,0.76,1.9,70,31708.41891064089,0.0,0.0,0.0,29.31740260477399,20.41987455338511,13.36622216324843,8.911393697427275,7.105798262957021,0.0,79.12069128179184
70,0.169432777,11.51052724,bp,0.91,0.86,0.0,70,17624.45283587114,0.0,0.0,0.0,29.31740260477399,20.41987455338511,13.36622216324843,8.911393697427275,7.105798262957021,0.0,79.12069128179184
68,0.173054468,11.40941554,bp,0.36,0.56,1.5,70,4600.633945062577,0.0,0.0,0.0,29.763588975124573,20.25514944449532,13.197109238087744,11.511118956719686,4.688408067081454,0.0,79.41537468150878
85,0.384002914,24.08419912,lc,20.84929755,21.64507226,16.3,0,0.0,0.0,33.73915719219247,0.0,0.0,0.0,11.497539385387258,20.276162568328424,19.056695746590623,8.225809947260295,92.79536483975906
119,0.586892481,34.6522475,lc,16.4884521,16.774931,11.2,0,0.0,0.0,0.0,18.13928666590845,16.341561973583016,0.0,7.072116243313312,22.40508866807391,10.34601062725965,6.119720096780915,80.42378427491924
10,1.072319845,3.79193024,lc,12.47774754,12.60507149,10.5,0,0.0,10.545788392548344,0.0,9.629767114395277,20.29845674805697,18.92428287366574,6.795337093833024,0.0,6.052228701268711,3.958880890703225,76.20474181447129
128,1.349875149,42.68060882,lc,23.84141048,24.09605838,17.5,0,0.0,0.0,0.0,0.0,3.7364710388654343,0.0,8.115399145426364,20.228880053344188,11.794185905744046,18.864176098505897,62.73911224188592
11,1.385664461,4.563821747,lc,8.785352859,9.071831756,8.0,0,0.0,14.978076269034313,0.0,14.467395893525143,15.250067748744376,16.804866274710577,7.116191744886477,0.12684655426700656,6.065201242202772,12.282340158843427,87.09098588621409
83,1.601405654,23.05207851,lc,22.60000192,22.31352302,20.2,0,0.0,12.646030715706301,14.031823507439341,0.0,0.0,5.747841022686245,14.920551560185514,21.840987756827136,14.489661641894296,3.3305542890703737,87.00745049380922
87,1.861904153,23.86750491,bp,1.6,1.82,3.8,84,666.3251916364628,26.40108446792758,14.161613040594728,0.0,0.0,14.782885314576324,22.518486830447806,4.5597861726350555,16.358355638147227,9.884133139234766,108.66634460356349
79,1.876620648,16.58792797,bp,15.08788861,14.92873366,11.6,79,0.0,13.780684091928578,0.0,9.937361653861192,0.0,6.959691708889249,16.371962538627002,10.030974505950537,10.89404906998367,16.560718345207302,84.53544191444753
84,1.950339134,23.57404015,bp,4.43,0.0,0.0,84,521.5592463361259,35.99572932607958,12.696082455972272,0.0,0.0,14.721865878578837,21.90637743617414,8.161863168095842,12.755933519452626,9.772221912306778,116.01007369666006
86,2.061185277,23.70777299,bp,2.98,3.21492985,4.3,84,664.8614346115525,28.220638386619036,12.12940056549308,0.0,0.0,14.968452628986467,22.076794045628965,4.514138129826337,16.478748959428376,9.797186021122727,108.18535873710498
12,2.326204791,8.477774239,lc,26.86535439,27.91577702,17.4,0,0.0,0.0,12.124410248625084,2.488628480433957,17.195308608079596,15.564800146027125,9.858205421498347,1.3999653318939154,11.246404293287462,12.673194056789082,82.55091658663459
80,2.453480415,16.92841496,lc,9.230986699,9.485634608,7.3,0,0.0,22.524290558358366,0.0,8.413043503690814,0.0,11.248743148056478,11.466210829119781,11.228969839056159,15.353549432165877,10.386186789180993,90.62099409962848
120,2.671769976,36.37033317,bp,9.644789551,10.59971921,7.3,120,0.0,49.04857688946371,0.0,6.887983373987483,1.5173881769734483,0.0,21.2389736902975,12.1855319069841,16.30479345066529,3.5265113694313945,110.70975885780291
94,2.896551739,29.27845804,lc,16.87042397,17.28422682,15.7,0,0.0,0.0,36.69226414262852,0.0,0.0,11.531827084308837,22.25880895363935,12.875025894698858,20.092904813547467,4.2640511979707325,107.71488208679376
121,2.907135255,36.66064334,bp,7.734930234,7.989578143,5.7,121,0.0,71.30559711411051,3.0012901727605463,1.918447981212989,6.580592410661267,2.597953140136411,21.655551813973872,10.213407168208114,10.526162456394298,7.101279489319489,134.90028174677752
1,3.274086193,1.380907264,lc,27.78845306,28.26591789,18.8,0,0.0,0.0,12.481499879026673,0.0,11.534383875648935,17.301424002838043,0.0,4.797533098262314,16.555457235515643,6.52476610961794,69.19506420090954
122,3.282580588,36.78813498,lc,17.47521275,18.11183252,12.3,0,0.0,36.96184118557997,0.7296343475457571,1.5288798311820504,5.334860818561372,7.774146488374512,15.811833242332069,10.143738584848737,13.704288192044286,7.778232852572241,99.767455543041
123,3.371224653,35.80305414,bp,1.39,1.878028328,3.7,123,432.68297582833037,36.31040159685206,0.0,1.9418377138458771,5.971168412549208,13.111211124511833,11.899816829145536,14.663940063469608,8.820008995486601,3.761802401035983,96.48018713689672
124,3.421525919,35.79970506,bp,3.01,3.023943919,3.6,123,193.11071257409674,27.74403772762883,7.712548205412836,1.9715904986113308,5.821348467296341,13.136858659874148,11.85202338726852,14.627122552086629,8.779851855637105,3.760795179310882,95.40617653312663
13,3.426798985,9.240296955,lc,16.2338042,15.69267739,14.1,0,0.0,0.0,20.06471028516291,7.685502562000158,20.565500360735708,0.0,13.254453599168317,2.1499044931401854,15.403259977075962,10.61275128636741,89.73608256365065
7,3.498593412,5.538078425,lc,18.4619734,19.03493119,16.0,0,0.0,16.581780672095096,0.0,7.950001547397302,13.690422550596075,11.968116483872542,3.4271824686001007,12.03487874393168,10.523556016471389,15.415903337001218,91.5918418199654
