pre1,pre2,kyori
秋田県,長野県,379.8
秋田県,岐阜県,565.5
秋田県,静岡県,547.8
秋田県,愛知県,577.5
秋田県,三重県,638.8
秋田県,滋賀県,643.6
秋田県,京都府,647.9
秋田県,大阪府,690.7
秋田県,兵庫県,708.3
秋田県,奈良県,674.9
秋田県,和歌山県,751.1
秋田県,鳥取県,697.5
秋田県,島根県,780.6
秋田県,岡山県,783.7
秋田県,広島県,899.9
秋田県,山口県,983
秋田県,徳島県,798.2
秋田県,香川県,803.9
秋田県,愛媛県,923.6
秋田県,高知県,900.8
秋田県,福岡県,1098.7
秋田県,佐賀県,1133.3
秋田県,長崎県,1200.4
秋田県,熊本県,1138.5
秋田県,大分県,1046
秋田県,宮崎県,1167.4
秋田県,鹿児島県,1250.1
秋田県,沖縄県,1891.2
山形県,北海道,542.1
山形県,青森県,288.7
山形県,岩手県,176.2
山形県,宮城県,44.6
山形県,秋田県,165.6
山形県,山形県,0
山形県,福島県,55.2
山形県,茨城県,210.9
山形県,栃木県,190.7
山形県,群馬県,235.5
山形県,埼玉県,272.1
山形県,千葉県,293.3
山形県,東京都,289.4
山形県,神奈川県,316.5
山形県,新潟県,123.4
山形県,富山県,327.3
山形県,石川県,377.9
山形県,福井県,440
山形県,山梨県,327.6
山形県,長野県,261.5
山形県,岐阜県,453.3
山形県,静岡県,403.1
山形県,愛知県,459
山形県,三重県,520.5
山形県,滋賀県,539
山形県,京都府,545.3
山形県,大阪府,586.4
山形県,兵庫県,608.7
山形県,奈良県,566
山形県,和歌山県,645.2
山形県,鳥取県,624.7
山形県,島根県,720.6
山形県,岡山県,699.6
山形県,広島県,827.6
山形県,山口県,916.8
山形県,徳島県,697.8
山形県,香川県,713.6
山形県,愛媛県,840.3
山形県,高知県,805.9
山形県,福岡県,1033.5
山形県,佐賀県,1064.6
山形県,長崎県,1129.4
山形県,熊本県,1060.9
山形県,大分県,966.1
山形県,宮崎県,1075
山形県,鹿児島県,1161.7
山形県,沖縄県,1787.4
福島県,北海道,594.8
福島県,青森県,342.1
福島県,岩手県,224.9
福島県,宮城県,67.7
福島県,秋田県,220.8
福島県,山形県,55.2
福島県,福島県,0
福島県,茨城県,156.3
福島県,栃木県,141.3
福島県,群馬県,195.9
福島県,埼玉県,222.4
福島県,千葉県,240
福島県,東京都,238.9
福島県,神奈川県,265.9
福島県,新潟県,128.3
福島県,富山県,311.8
福島県,石川県,364.5
福島県,福井県,422
福島県,山梨県,287
福島県,長野県,236.8
福島県,岐阜県,425.3
福島県,静岡県,360.1
福島県,愛知県,427.9
福島県,三重県,488.7
福島県,滋賀県,512.9
福島県,京都府,519.9
福島県,大阪府,559.7
福島県,兵庫県,583.8
福島県,奈良県,537.8
福島県,和歌山県,617.3
福島県,鳥取県,610.2
福島県,島根県,709.8
福島県,岡山県,679.9
福島県,広島県,811.3
福島県,山口県,902.2
福島県,徳島県,671.7
福島県,香川県,691.3
福島県,愛媛県,819.8
福島県,高知県,781.1
福島県,福岡県,1018.5
福島県,佐賀県,1048.2
福島県,長崎県,1111.8
福島県,熊本県,1041.2
福島県,大分県,946
