year,origin,destination,gender,migration
2010,北海道,北海道,総数,0
2010,北海道,北海道,男,0
2010,北海道,北海道,女,0
2010,青森県,北海道,総数,2068
2010,青森県,北海道,男,1163
2010,青森県,北海道,女,905
2010,岩手県,北海道,総数,938
2010,岩手県,北海道,男,527
2010,岩手県,北海道,女,411
2010,宮城県,北海道,総数,1951
2010,宮城県,北海道,男,1132
2010,宮城県,北海道,女,819
2010,秋田県,北海道,総数,563
2010,秋田県,北海道,男,325
2010,秋田県,北海道,女,238
2010,山形県,北海道,総数,466
2010,山形県,北海道,男,274
2010,山形県,北海道,女,192
2010,福島県,北海道,総数,613
2010,福島県,北海道,男,339
2010,福島県,北海道,女,274
2010,茨城県,北海道,総数,1174
2010,茨城県,北海道,男,763
2010,茨城県,北海道,女,411
2010,栃木県,北海道,総数,753
2010,栃木県,北海道,男,480
2010,栃木県,北海道,女,273
2010,群馬県,北海道,総数,618
2010,群馬県,北海道,男,394
2010,群馬県,北海道,女,224
2010,埼玉県,北海道,総数,3643
2010,埼玉県,北海道,男,2242
2010,埼玉県,北海道,女,1401
2010,千葉県,北海道,総数,3930
2010,千葉県,北海道,男,2397
2010,千葉県,北海道,女,1533
2010,東京都,北海道,総数,10398
2010,東京都,北海道,男,6258
2010,東京都,北海道,女,4140
2010,神奈川県,北海道,総数,5520
2010,神奈川県,北海道,男,3394
2010,神奈川県,北海道,女,2126
2010,新潟県,北海道,総数,725
2010,新潟県,北海道,男,460
2010,新潟県,北海道,女,265
2010,富山県,北海道,総数,294
2010,富山県,北海道,男,176
2010,富山県,北海道,女,118
2010,石川県,北海道,総数,355
2010,石川県,北海道,男,210
2010,石川県,北海道,女,145
2010,福井県,北海道,総数,132
2010,福井県,北海道,男,74
2010,福井県,北海道,女,58
2010,山梨県,北海道,総数,202
2010,山梨県,北海道,男,128
2010,山梨県,北海道,女,74
2010,長野県,北海道,総数,576
2010,長野県,北海道,男,350
2010,長野県,北海道,女,226
2010,岐阜県,北海道,総数,398
2010,岐阜県,北海道,男,240
2010,岐阜県,北海道,女,158
2010,静岡県,北海道,総数,1407
2010,静岡県,北海道,男,836
2010,静岡県,北海道,女,571
2010,愛知県,北海道,総数,2671
2010,愛知県,北海道,男,1705
2010,愛知県,北海道,女,966
2010,三重県,北海道,総数,380
2010,三重県,北海道,男,246
2010,三重県,北海道,女,134
2010,滋賀県,北海道,総数,328
2010,滋賀県,北海道,男,213
2010,滋賀県,北海道,女,115
2010,京都府,北海道,総数,763
2010,京都府,北海道,男,473
2010,京都府,北海道,女,290
2010,大阪府,北海道,総数,1994
2010,大阪府,北海道,男,1139
2010,大阪府,北海道,女,855
2010,兵庫県,北海道,総数,1089
2010,兵庫県,北海道,男,638
2010,兵庫県,北海道,女,451
2010,奈良県,北海道,総数,309
2010,奈良県,北海道,男,183
2010,奈良県,北海道,女,126
2010,和歌山県,北海道,総数,117
2010,和歌山県,北海道,男,70
2010,和歌山県,北海道,女,47
2010,鳥取県,北海道,総数,76
2010,鳥取県,北海道,男,45
2010,鳥取県,北海道,女,31
2010,島根県,北海道,総数,118
2010,島根県,北海道,男,70
2010,島根県,北海道,女,48
2010,岡山県,北海道,総数,288
2010,岡山県,北海道,男,166
2010,岡山県,北海道,女,122
2010,広島県,北海道,総数,471
2010,広島県,北海道,男,268
2010,広島県,北海道,女,203
2010,山口県,北海道,総数,204
2010,山口県,北海道,男,112
2010,山口県,北海道,女,92
2010,徳島県,北海道,総数,119
2010,徳島県,北海道,男,65
2010,徳島県,北海道,女,54
2010,香川県,北海道,総数,181
2010,香川県,北海道,男,99
2010,香川県,北海道,女,82
2010,愛媛県,北海道,総数,155
2010,愛媛県,北海道,男,88
2010,愛媛県,北海道,女,67
2010,高知県,北海道,総数,80
2010,高知県,北海道,男,40
2010,高知県,北海道,女,40
2010,福岡県,北海道,総数,1104
2010,福岡県,北海道,男,654
