year,origin,destination,gender,migration
2016,北海道,北海道,総数,0
2016,北海道,北海道,男,0
2016,北海道,北海道,女,0
2016,青森県,北海道,総数,2025
2016,青森県,北海道,男,1202
2016,青森県,北海道,女,823
2016,岩手県,北海道,総数,1036
2016,岩手県,北海道,男,591
2016,岩手県,北海道,女,445
2016,宮城県,北海道,総数,2196
2016,宮城県,北海道,男,1324
2016,宮城県,北海道,女,872
2016,秋田県,北海道,総数,674
2016,秋田県,北海道,男,376
2016,秋田県,北海道,女,298
2016,山形県,北海道,総数,478
2016,山形県,北海道,男,266
2016,山形県,北海道,女,212
2016,福島県,北海道,総数,786
2016,福島県,北海道,男,537
2016,福島県,北海道,女,249
2016,茨城県,北海道,総数,1096
2016,茨城県,北海道,男,688
2016,茨城県,北海道,女,408
2016,栃木県,北海道,総数,642
2016,栃木県,北海道,男,393
2016,栃木県,北海道,女,249
2016,群馬県,北海道,総数,550
2016,群馬県,北海道,男,359
2016,群馬県,北海道,女,191
2016,埼玉県,北海道,総数,3830
2016,埼玉県,北海道,男,2388
2016,埼玉県,北海道,女,1442
2016,千葉県,北海道,総数,3586
2016,千葉県,北海道,男,2197
2016,千葉県,北海道,女,1389
2016,東京都,北海道,総数,10292
2016,東京都,北海道,男,6046
2016,東京都,北海道,女,4246
2016,神奈川県,北海道,総数,5238
2016,神奈川県,北海道,男,3151
2016,神奈川県,北海道,女,2087
2016,新潟県,北海道,総数,604
2016,新潟県,北海道,男,367
2016,新潟県,北海道,女,237
2016,富山県,北海道,総数,275
2016,富山県,北海道,男,166
2016,富山県,北海道,女,109
2016,石川県,北海道,総数,369
2016,石川県,北海道,男,218
2016,石川県,北海道,女,151
2016,福井県,北海道,総数,136
2016,福井県,北海道,男,84
2016,福井県,北海道,女,52
2016,山梨県,北海道,総数,230
2016,山梨県,北海道,男,133
2016,山梨県,北海道,女,97
2016,長野県,北海道,総数,536
2016,長野県,北海道,男,310
2016,長野県,北海道,女,226
2016,岐阜県,北海道,総数,322
2016,岐阜県,北海道,男,200
2016,岐阜県,北海道,女,122
2016,静岡県,北海道,総数,1230
2016,静岡県,北海道,男,757
2016,静岡県,北海道,女,473
2016,愛知県,北海道,総数,2395
2016,愛知県,北海道,男,1498
2016,愛知県,北海道,女,897
2016,三重県,北海道,総数,389
2016,三重県,北海道,男,243
2016,三重県,北海道,女,146
2016,滋賀県,北海道,総数,302
2016,滋賀県,北海道,男,187
2016,滋賀県,北海道,女,115
2016,京都府,北海道,総数,745
2016,京都府,北海道,男,433
2016,京都府,北海道,女,312
2016,大阪府,北海道,総数,1992
2016,大阪府,北海道,男,1115
2016,大阪府,北海道,女,877
2016,兵庫県,北海道,総数,1224
2016,兵庫県,北海道,男,725
2016,兵庫県,北海道,女,499
2016,奈良県,北海道,総数,306
2016,奈良県,北海道,男,172
2016,奈良県,北海道,女,134
2016,和歌山県,北海道,総数,117
2016,和歌山県,北海道,男,62
2016,和歌山県,北海道,女,55
2016,鳥取県,北海道,総数,95
2016,鳥取県,北海道,男,52
2016,鳥取県,北海道,女,43
2016,島根県,北海道,総数,81
2016,島根県,北海道,男,50
2016,島根県,北海道,女,31
2016,岡山県,北海道,総数,320
2016,岡山県,北海道,男,181
2016,岡山県,北海道,女,139
2016,広島県,北海道,総数,523
2016,広島県,北海道,男,309
2016,広島県,北海道,女,214
2016,山口県,北海道,総数,228
2016,山口県,北海道,男,147
2016,山口県,北海道,女,81
2016,徳島県,北海道,総数,120
2016,徳島県,北海道,男,70
2016,徳島県,北海道,女,50
2016,香川県,北海道,総数,212
2016,香川県,北海道,男,130
2016,香川県,北海道,女,82
2016,愛媛県,北海道,総数,250
2016,愛媛県,北海道,男,153
2016,愛媛県,北海道,女,97
2016,高知県,北海道,総数,101
2016,高知県,北海道,男,63
2016,高知県,北海道,女,38
2016,福岡県,北海道,総数,1087
2016,福岡県,北海道,男,667
2016,福岡県,北海道,女,420
2016,佐賀県,北海道,総数,83
2016,佐賀県,北海道,男,49
2016,佐賀県,北海道,女,34
2016,長崎県,北海道,総数,163
2016,長崎県,北海道,男,93
2016,長崎県,北海道,女,70
2016,熊本県,北海道,総数,345
2016,熊本県,北海道,男,190
2016,熊本県,北海道,女,155
2016,大分県,北海道,総数,162
2016,大分県,北海道,男,90
2016,大分県,北海道,女,72
2016,宮崎県,北海道,総数,230
2016,宮崎県,北海道,男,136
2016,宮崎県,北海道,女,94
2016,鹿児島県,北海道,総数,259
2016,鹿児島県,北海道,男,141
2016,鹿児島県,北海道,女,118
2016,沖縄県,北海道,総数,684
2016,沖縄県,北海道,男,323
2016,沖縄県,北海道,女,361
2016,北海道,青森県,総数,1654
2016,北海道,青森県,男,992
2016,北海道,青森県,女,662
2016,青森県,青森県,総数,0
2016,青森県,青森県,男,0
2016,青森県,青森県,女,0
2016,岩手県,青森県,総数,1817
2016,岩手県,青森県,男,996
2016,岩手県,青森県,女,821
2016,宮城県,青森県,総数,2021
2016,宮城県,青森県,男,1212
