year,origin,destination,gender,migration
2014,北海道,北海道,総数,0
2014,北海道,北海道,男,0
2014,北海道,北海道,女,0
2014,青森県,北海道,総数,1874
2014,青森県,北海道,男,1063
2014,青森県,北海道,女,811
2014,岩手県,北海道,総数,879
2014,岩手県,北海道,男,519
2014,岩手県,北海道,女,360
2014,宮城県,北海道,総数,2042
2014,宮城県,北海道,男,1230
2014,宮城県,北海道,女,812
2014,秋田県,北海道,総数,572
2014,秋田県,北海道,男,336
2014,秋田県,北海道,女,236
2014,山形県,北海道,総数,386
2014,山形県,北海道,男,221
2014,山形県,北海道,女,165
2014,福島県,北海道,総数,654
2014,福島県,北海道,男,409
2014,福島県,北海道,女,245
2014,茨城県,北海道,総数,1142
2014,茨城県,北海道,男,701
2014,茨城県,北海道,女,441
2014,栃木県,北海道,総数,610
2014,栃木県,北海道,男,363
2014,栃木県,北海道,女,247
2014,群馬県,北海道,総数,579
2014,群馬県,北海道,男,367
2014,群馬県,北海道,女,212
2014,埼玉県,北海道,総数,3537
2014,埼玉県,北海道,男,2230
2014,埼玉県,北海道,女,1307
2014,千葉県,北海道,総数,3565
2014,千葉県,北海道,男,2175
2014,千葉県,北海道,女,1390
2014,東京都,北海道,総数,10135
2014,東京都,北海道,男,5927
2014,東京都,北海道,女,4208
2014,神奈川県,北海道,総数,5018
2014,神奈川県,北海道,男,3040
2014,神奈川県,北海道,女,1978
2014,新潟県,北海道,総数,607
2014,新潟県,北海道,男,365
2014,新潟県,北海道,女,242
2014,富山県,北海道,総数,295
2014,富山県,北海道,男,177
2014,富山県,北海道,女,118
2014,石川県,北海道,総数,355
2014,石川県,北海道,男,207
2014,石川県,北海道,女,148
2014,福井県,北海道,総数,137
2014,福井県,北海道,男,88
2014,福井県,北海道,女,49
2014,山梨県,北海道,総数,220
2014,山梨県,北海道,男,128
2014,山梨県,北海道,女,92
2014,長野県,北海道,総数,531
2014,長野県,北海道,男,304
2014,長野県,北海道,女,227
2014,岐阜県,北海道,総数,341
2014,岐阜県,北海道,男,205
2014,岐阜県,北海道,女,136
2014,静岡県,北海道,総数,1253
2014,静岡県,北海道,男,758
2014,静岡県,北海道,女,495
2014,愛知県,北海道,総数,2432
2014,愛知県,北海道,男,1536
2014,愛知県,北海道,女,896
2014,三重県,北海道,総数,353
2014,三重県,北海道,男,228
2014,三重県,北海道,女,125
2014,滋賀県,北海道,総数,295
2014,滋賀県,北海道,男,185
2014,滋賀県,北海道,女,110
2014,京都府,北海道,総数,648
2014,京都府,北海道,男,385
2014,京都府,北海道,女,263
2014,大阪府,北海道,総数,2034
2014,大阪府,北海道,男,1157
2014,大阪府,北海道,女,877
2014,兵庫県,北海道,総数,1152
2014,兵庫県,北海道,男,652
2014,兵庫県,北海道,女,500
2014,奈良県,北海道,総数,295
2014,奈良県,北海道,男,161
2014,奈良県,北海道,女,134
2014,和歌山県,北海道,総数,128
2014,和歌山県,北海道,男,75
2014,和歌山県,北海道,女,53
2014,鳥取県,北海道,総数,101
2014,鳥取県,北海道,男,63
2014,鳥取県,北海道,女,38
2014,島根県,北海道,総数,85
2014,島根県,北海道,男,51
2014,島根県,北海道,女,34
2014,岡山県,北海道,総数,255
2014,岡山県,北海道,男,144
2014,岡山県,北海道,女,111
2014,広島県,北海道,総数,583
2014,広島県,北海道,男,331
2014,広島県,北海道,女,252
2014,山口県,北海道,総数,231
2014,山口県,北海道,男,136
2014,山口県,北海道,女,95
2014,徳島県,北海道,総数,103
2014,徳島県,北海道,男,63
2014,徳島県,北海道,女,40
2014,香川県,北海道,総数,140
2014,香川県,北海道,男,84
2014,香川県,北海道,女,56
2014,愛媛県,北海道,総数,174
2014,愛媛県,北海道,男,101
2014,愛媛県,北海道,女,73
2014,高知県,北海道,総数,114
2014,高知県,北海道,男,61
2014,高知県,北海道,女,53
2014,福岡県,北海道,総数,1036
2014,福岡県,北海道,男,610
2014,福岡県,北海道,女,426
2014,佐賀県,北海道,総数,118
2014,佐賀県,北海道,男,75
2014,佐賀県,北海道,女,43
2014,長崎県,北海道,総数,177
2014,長崎県,北海道,男,95
2014,長崎県,北海道,女,82
2014,熊本県,北海道,総数,245
2014,熊本県,北海道,男,144
2014,熊本県,北海道,女,101
2014,大分県,北海道,総数,127
2014,大分県,北海道,男,74
2014,大分県,北海道,女,53
2014,宮崎県,北海道,総数,253
2014,宮崎県,北海道,男,154
2014,宮崎県,北海道,女,99
2014,鹿児島県,北海道,総数,199
2014,鹿児島県,北海道,男,110
2014,鹿児島県,北海道,女,89
2014,沖縄県,北海道,総数,544
2014,沖縄県,北海道,男,253
2014,沖縄県,北海道,女,291
2014,北海道,青森県,総数,1688
2014,北海道,青森県,男,983
2014,北海道,青森県,女,705
2014,青森県,青森県,総数,0
2014,青森県,青森県,男,0
2014,青森県,青森県,女,0
2014,岩手県,青森県,総数,1921
2014,岩手県,青森県,男,1059
2014,岩手県,青森県,女,862
2014,宮城県,青森県,総数,2175
2014,宮城県,青森県,男,1334
2014,宮城県,青森県,女,841
2014,秋田県,青森県,総数,963
2014,秋田県,青森県,男,548
2014,秋田県,青森県,女,415
2014,山形県,青森県,総数,362
2014,山形県,青森県,男,219
2014,山形県,青森県,女,143
2014,福島県,青森県,総数,398
2014,福島県,青森県,男,246
2014,福島県,青森県,女,152
2014,茨城県,青森県,総数,293
2014,茨城県,青森県,男,171
2014,茨城県,青森県,女,122
2014,栃木県,青森県,総数,206
2014,栃木県,青森県,男,134
2014,栃木県,青森県,女,72
2014,群馬県,青森県,総数,174
2014,群馬県,青森県,男,105
2014,群馬県,青森県,女,69
2014,埼玉県,青森県,総数,1231
2014,埼玉県,青森県,男,772
2014,埼玉県,青森県,女,459
2014,千葉県,青森県,総数,955
2014,千葉県,青森県,男,577
2014,千葉県,青森県,女,378
2014,東京都,青森県,総数,2781
2014,東京都,青森県,男,1589
2014,東京都,青森県,女,1192
2014,神奈川県,青森県,総数,1719
2014,神奈川県,青森県,男,1084
2014,神奈川県,青森県,女,635
2014,新潟県,青森県,総数,180
2014,新潟県,青森県,男,96
2014,新潟県,青森県,女,84
2014,富山県,青森県,総数,47
2014,富山県,青森県,男,28
2014,富山県,青森県,女,19
