year,origin,destination,gender,migration
2013,北海道,北海道,総数,0
2013,北海道,北海道,男,0
2013,北海道,北海道,女,0
2013,青森県,北海道,総数,1838
2013,青森県,北海道,男,1040
2013,青森県,北海道,女,798
2013,岩手県,北海道,総数,852
2013,岩手県,北海道,男,471
2013,岩手県,北海道,女,381
2013,宮城県,北海道,総数,2134
2013,宮城県,北海道,男,1295
2013,宮城県,北海道,女,839
2013,秋田県,北海道,総数,632
2013,秋田県,北海道,男,350
2013,秋田県,北海道,女,282
2013,山形県,北海道,総数,428
2013,山形県,北海道,男,228
2013,山形県,北海道,女,200
2013,福島県,北海道,総数,736
2013,福島県,北海道,男,456
2013,福島県,北海道,女,280
2013,茨城県,北海道,総数,1118
2013,茨城県,北海道,男,705
2013,茨城県,北海道,女,413
2013,栃木県,北海道,総数,677
2013,栃木県,北海道,男,421
2013,栃木県,北海道,女,256
2013,群馬県,北海道,総数,529
2013,群馬県,北海道,男,331
2013,群馬県,北海道,女,198
2013,埼玉県,北海道,総数,3651
2013,埼玉県,北海道,男,2271
2013,埼玉県,北海道,女,1380
2013,千葉県,北海道,総数,3575
2013,千葉県,北海道,男,2158
2013,千葉県,北海道,女,1417
2013,東京都,北海道,総数,10512
2013,東京都,北海道,男,6106
2013,東京都,北海道,女,4406
2013,神奈川県,北海道,総数,5264
2013,神奈川県,北海道,男,3171
2013,神奈川県,北海道,女,2093
2013,新潟県,北海道,総数,618
2013,新潟県,北海道,男,352
2013,新潟県,北海道,女,266
2013,富山県,北海道,総数,275
2013,富山県,北海道,男,161
2013,富山県,北海道,女,114
2013,石川県,北海道,総数,397
2013,石川県,北海道,男,225
2013,石川県,北海道,女,172
2013,福井県,北海道,総数,142
2013,福井県,北海道,男,93
2013,福井県,北海道,女,49
2013,山梨県,北海道,総数,212
2013,山梨県,北海道,男,127
2013,山梨県,北海道,女,85
2013,長野県,北海道,総数,598
2013,長野県,北海道,男,363
2013,長野県,北海道,女,235
2013,岐阜県,北海道,総数,341
2013,岐阜県,北海道,男,207
2013,岐阜県,北海道,女,134
2013,静岡県,北海道,総数,1376
2013,静岡県,北海道,男,832
2013,静岡県,北海道,女,544
2013,愛知県,北海道,総数,2576
2013,愛知県,北海道,男,1592
2013,愛知県,北海道,女,984
2013,三重県,北海道,総数,307
2013,三重県,北海道,男,187
2013,三重県,北海道,女,120
2013,滋賀県,北海道,総数,305
2013,滋賀県,北海道,男,198
2013,滋賀県,北海道,女,107
2013,京都府,北海道,総数,820
2013,京都府,北海道,男,481
2013,京都府,北海道,女,339
2013,大阪府,北海道,総数,1900
2013,大阪府,北海道,男,1070
2013,大阪府,北海道,女,830
2013,兵庫県,北海道,総数,1158
2013,兵庫県,北海道,男,692
2013,兵庫県,北海道,女,466
2013,奈良県,北海道,総数,313
2013,奈良県,北海道,男,176
2013,奈良県,北海道,女,137
2013,和歌山県,北海道,総数,158
2013,和歌山県,北海道,男,95
2013,和歌山県,北海道,女,63
2013,鳥取県,北海道,総数,85
2013,鳥取県,北海道,男,48
2013,鳥取県,北海道,女,37
2013,島根県,北海道,総数,99
2013,島根県,北海道,男,52
2013,島根県,北海道,女,47
2013,岡山県,北海道,総数,279
2013,岡山県,北海道,男,175
2013,岡山県,北海道,女,104
2013,広島県,北海道,総数,478
2013,広島県,北海道,男,271
2013,広島県,北海道,女,207
2013,山口県,北海道,総数,168
2013,山口県,北海道,男,105
2013,山口県,北海道,女,63
2013,徳島県,北海道,総数,99
2013,徳島県,北海道,男,57
2013,徳島県,北海道,女,42
2013,香川県,北海道,総数,172
2013,香川県,北海道,男,100
2013,香川県,北海道,女,72
2013,愛媛県,北海道,総数,203
2013,愛媛県,北海道,男,119
2013,愛媛県,北海道,女,84
2013,高知県,北海道,総数,104
2013,高知県,北海道,男,49
2013,高知県,北海道,女,55
2013,福岡県,北海道,総数,1085
2013,福岡県,北海道,男,638
2013,福岡県,北海道,女,447
2013,佐賀県,北海道,総数,89
2013,佐賀県,北海道,男,44
2013,佐賀県,北海道,女,45
2013,長崎県,北海道,総数,167
2013,長崎県,北海道,男,90
2013,長崎県,北海道,女,77
2013,熊本県,北海道,総数,273
2013,熊本県,北海道,男,156
2013,熊本県,北海道,女,117
2013,大分県,北海道,総数,114
2013,大分県,北海道,男,63
2013,大分県,北海道,女,51
2013,宮崎県,北海道,総数,157
2013,宮崎県,北海道,男,90
2013,宮崎県,北海道,女,67
2013,鹿児島県,北海道,総数,198
2013,鹿児島県,北海道,男,113
2013,鹿児島県,北海道,女,85
2013,沖縄県,北海道,総数,571
2013,沖縄県,北海道,男,284
2013,沖縄県,北海道,女,287
2013,北海道,青森県,総数,1743
2013,北海道,青森県,男,1045
2013,北海道,青森県,女,698
2013,青森県,青森県,総数,0
2013,青森県,青森県,男,0
2013,青森県,青森県,女,0
2013,岩手県,青森県,総数,1880
2013,岩手県,青森県,男,1011
2013,岩手県,青森県,女,869
2013,宮城県,青森県,総数,2097
