year,origin,destination,gender,migration
2018,群馬県,青森県,女,77
2018,埼玉県,青森県,総数,1163
2018,埼玉県,青森県,男,700
2018,埼玉県,青森県,女,463
2018,千葉県,青森県,総数,884
2018,千葉県,青森県,男,574
2018,千葉県,青森県,女,310
2018,東京都,青森県,総数,2477
2018,東京都,青森県,男,1432
2018,東京都,青森県,女,1045
2018,神奈川県,青森県,総数,1591
2018,神奈川県,青森県,男,989
2018,神奈川県,青森県,女,602
2018,新潟県,青森県,総数,126
2018,新潟県,青森県,男,83
2018,新潟県,青森県,女,43
2018,富山県,青森県,総数,54
2018,富山県,青森県,男,34
2018,富山県,青森県,女,20
2018,石川県,青森県,総数,85
2018,石川県,青森県,男,47
2018,石川県,青森県,女,38
2018,福井県,青森県,総数,36
2018,福井県,青森県,男,28
2018,福井県,青森県,女,8
2018,山梨県,青森県,総数,43
2018,山梨県,青森県,男,25
2018,山梨県,青森県,女,18
2018,長野県,青森県,総数,94
2018,長野県,青森県,男,53
2018,長野県,青森県,女,41
2018,岐阜県,青森県,総数,76
2018,岐阜県,青森県,男,49
2018,岐阜県,青森県,女,27
2018,静岡県,青森県,総数,321
2018,静岡県,青森県,男,211
2018,静岡県,青森県,女,110
2018,愛知県,青森県,総数,357
2018,愛知県,青森県,男,203
2018,愛知県,青森県,女,154
2018,三重県,青森県,総数,70
2018,三重県,青森県,男,48
2018,三重県,青森県,女,22
2018,滋賀県,青森県,総数,22
2018,滋賀県,青森県,男,13
2018,滋賀県,青森県,女,9
2018,京都府,青森県,総数,222
2018,京都府,青森県,男,170
2018,京都府,青森県,女,52
2018,大阪府,青森県,総数,191
2018,大阪府,青森県,男,99
2018,大阪府,青森県,女,92
2018,兵庫県,青森県,総数,126
2018,兵庫県,青森県,男,72
2018,兵庫県,青森県,女,54
2018,奈良県,青森県,総数,51
2018,奈良県,青森県,男,37
2018,奈良県,青森県,女,14
2018,和歌山県,青森県,総数,28
2018,和歌山県,青森県,男,13
2018,和歌山県,青森県,女,15
2018,鳥取県,青森県,総数,27
2018,鳥取県,青森県,男,13
2018,鳥取県,青森県,女,14
2018,島根県,青森県,総数,25
2018,島根県,青森県,男,15
2018,島根県,青森県,女,10
2018,岡山県,青森県,総数,32
2018,岡山県,青森県,男,19
2018,岡山県,青森県,女,13
2018,広島県,青森県,総数,183
2018,広島県,青森県,男,127
2018,広島県,青森県,女,56
2018,山口県,青森県,総数,73
2018,山口県,青森県,男,47
2018,山口県,青森県,女,26
2018,徳島県,青森県,総数,28
2018,徳島県,青森県,男,19
2018,徳島県,青森県,女,9
2018,香川県,青森県,総数,8
2018,香川県,青森県,男,6
2018,香川県,青森県,女,2
2018,愛媛県,青森県,総数,22
2018,愛媛県,青森県,男,15
2018,愛媛県,青森県,女,7
2018,高知県,青森県,総数,14
2018,高知県,青森県,男,8
2018,高知県,青森県,女,6
2018,福岡県,青森県,総数,193
2018,福岡県,青森県,男,123
2018,福岡県,青森県,女,70
2018,佐賀県,青森県,総数,15
2018,佐賀県,青森県,男,11
2018,佐賀県,青森県,女,4
2018,長崎県,青森県,総数,91
2018,長崎県,青森県,男,60
2018,長崎県,青森県,女,31
2018,熊本県,青森県,総数,42
2018,熊本県,青森県,男,20
2018,熊本県,青森県,女,22
2018,大分県,青森県,総数,43
2018,大分県,青森県,男,30
2018,大分県,青森県,女,13
2018,宮崎県,青森県,総数,28
2018,宮崎県,青森県,男,15
2018,宮崎県,青森県,女,13
2018,鹿児島県,青森県,総数,48
2018,鹿児島県,青森県,男,31
2018,鹿児島県,青森県,女,17
2018,沖縄県,青森県,総数,179
2018,沖縄県,青森県,男,104
2018,沖縄県,青森県,女,75
2018,北海道,岩手県,総数,795
2018,北海道,岩手県,男,517
2018,北海道,岩手県,女,278
2018,青森県,岩手県,総数,1903
2018,青森県,岩手県,男,1031
2018,青森県,岩手県,女,872
2018,岩手県,岩手県,総数,0
2018,岩手県,岩手県,男,0
2018,岩手県,岩手県,女,0
2018,宮城県,岩手県,総数,3510
2018,宮城県,岩手県,男,2004
2018,宮城県,岩手県,女,1506
2018,秋田県,岩手県,総数,1066
2018,秋田県,岩手県,男,607
2018,秋田県,岩手県,女,459
2018,山形県,岩手県,総数,440
2018,山形県,岩手県,男,255
2018,山形県,岩手県,女,185
2018,福島県,岩手県,総数,653
2018,福島県,岩手県,男,427
2018,福島県,岩手県,女,226
2018,茨城県,岩手県,総数,220
2018,茨城県,岩手県,男,122
2018,茨城県,岩手県,女,98
2018,栃木県,岩手県,総数,218
2018,栃木県,岩手県,男,128
2018,栃木県,岩手県,女,90
2018,群馬県,岩手県,総数,162
2018,群馬県,岩手県,男,99
2018,群馬県,岩手県,女,63
2018,埼玉県,岩手県,総数,900
2018,埼玉県,岩手県,男,516
2018,埼玉県,岩手県,女,384
2018,千葉県,岩手県,総数,773
2018,千葉県,岩手県,男,490
2018,千葉県,岩手県,女,283
2018,東京都,岩手県,総数,2240
2018,東京都,岩手県,男,1239
2018,東京都,岩手県,女,1001
2018,神奈川県,岩手県,総数,1162
2018,神奈川県,岩手県,男,684
2018,神奈川県,岩手県,女,478
2018,新潟県,岩手県,総数,185
2018,新潟県,岩手県,男,106
2018,新潟県,岩手県,女,79
2018,富山県,岩手県,総数,32
2018,富山県,岩手県,男,17
2018,富山県,岩手県,女,15
2018,石川県,岩手県,総数,69
2018,石川県,岩手県,男,40
2018,石川県,岩手県,女,29
2018,福井県,岩手県,総数,14
2018,福井県,岩手県,男,9
2018,福井県,岩手県,女,5
2018,山梨県,岩手県,総数,83
2018,山梨県,岩手県,男,41
2018,山梨県,岩手県,女,42
2018,長野県,岩手県,総数,76
2018,長野県,岩手県,男,48
2018,長野県,岩手県,女,28
2018,岐阜県,岩手県,総数,52
2018,岐阜県,岩手県,男,32
2018,岐阜県,岩手県,女,20
2018,静岡県,岩手県,総数,233
2018,静岡県,岩手県,男,146
