
,tau= 0.01,tau= 0.05,tau= 0.25,tau= 0.50,tau= 0.75,tau= 0.95,tau= 0.99,N
(Intercept),0.17114701986755,0.290218270008084,0.669699962020509,1.16927046830201,1.87598089639971,3.30083190883191,5.00137092316197,7983
data$dbh,-0.00105960264900662,-0.00161681487469685,-0.00341815419673376,-0.00541573749601785,-0.00722507959833456,-0.00968660968660969,-0.0162152201953199,
