
,tau= 0.01,tau= 0.05,tau= 0.25,tau= 0.50,tau= 0.75,tau= 0.95,tau= 0.99,N
(Intercept),0.120974934219637,0.282919077066294,0.977525599663347,1.64984412333599,2.69323883391281,5.265912776682,8.77752519145506,1938
data$dbh,-6.92424871901399e-05,-0.000332468914156527,-0.00224435404685089,-0.00420980771418819,-0.00713203173754123,-0.0133683979837825,-0.022571543732366,
