
,Estimate,Std. Error,t value,Pr(>|t|),aic,N
(Intercept),1.62854527146174,0.0989417584842922,16.4596354098586,6.57388155514554e-23,103.898670712629,3
dbh01,0.83296221805078,0.0213020922621075,39.1023664624937,8.01546610084939e-42,,
U1.dbh01,-1.28483513381116,0.170346230975421,-7.54249229028466,4.87390193218263e-10,,
psi1.dbh01,0,0.579277394830242,0,1,,

,Initial,Est.,St.Err
psi1.dbh01,1.63,13.7895864378633,0.579277394830242
