
,Estimate,Std. Error,t value,Pr(>|t|),aic,N
(Intercept),1.54800872516638,0.15874954884908,9.75126377611346,4.76677817106713e-19,764.561902527166,236
dbh01,0.831977153311349,0.0473612520928467,17.5666207405232,1.67248686183708e-44,,
U1.dbh01,-0.266211889514645,0.066368460617559,-4.01112044844104,8.15324065328586e-05,,
psi1.dbh01,0,1.33790140472647,0,1,,

,Initial,Est.,St.Err
psi1.dbh01,2.97,7.25694977772009,1.33790140472647
