
,Estimate,Std. Error,t value,Pr(>|t|),aic,N
(Intercept),1.46204587418638,0.137099085634702,10.6641548148758,2.94130078735875e-20,494.79659386237,159
dbh01,0.699042095788494,0.0308816063343422,22.6361960650705,5.29100468153721e-51,,
U1.dbh01,-0.270054189515552,0.0625875639047713,-4.31482186982781,2.83457596839831e-05,,
psi1.dbh01,0,1.83872566692738,0,1,,

,Initial,Est.,St.Err
psi1.dbh01,2.41,12.5732560385996,1.83872566692738
