
,Estimate,Std. Error,t value,Pr(>|t|),aic,N
(Intercept),1.57011303463925,0.127697792153438,12.2955378332043,2.67939443753704e-28,904.613139558701,297
dbh01,0.704754067000823,0.0329603123620571,21.3818989110101,9.09125048688934e-62,,
U1.dbh01,-0.49075097293034,0.0630960520831603,-7.77783960688273,1.26649025879173e-13,,
psi1.dbh01,0,0.674503825231747,0,1,,

,Initial,Est.,St.Err
psi1.dbh01,3.405915782,8.36338372333882,0.674503825231747
